id,question,a,b,c,d,answer
41,Tàu có đủ tiêu chuẩn về cấu trúc để chở hóa chất gây nguy hiểm và ô nhiễm nghiêm trọng là:,a. Tàu loại 1.,b. Tàu loại 2.,c. Tàu loại 3.,d. Các loại tàu.,a
42,Tàu có đủ tiêu chuẩn về cấu trúc để chở hóa chất gây nguy hiểm và ô nhiễm nghiêm trọng đáng kể là:,a. Các loại tàu.,b. Tàu loại 1.,c. Tàu loại 2. ,d. Tàu loại 3.,c
43,Tàu có đủ tiêu chuẩn về cấu trúc để chở hóa chất gây nguy hiểm và ô nhiễm tương đối nghiêm trọng đáng kể là:,a. Các loại tàu.,b. Tàu loại 1.,c. Tàu loại 1 và 2. ,d. Tàu loại 3.,d
44,Khoang<c> két chứa hàng hóa chất nguy hiểm phải có kết cấu đáy đôi ở loại tàu nào:,a. Các loại tàu.,b. Tàu loại 1.,c. Tàu loại 1 và 2. ,d. Tàu loại 3.,c
45,Khoang<c> két chứa hàng của phương tiện chở xô hóa chất phải được cách ly khỏi khu vực nào: ,a. Buồng ở và buồng phục vụ.,b. Buồng máy và két nước sinh hoạt.,c. Khoang trống và kho chứa thực phẩm.,d. Tất cả các khu vực trên.,d
46,Thuyền viên trên phương tiện chở hóa chất được huấn luyện thích đáng trình tự xếp dỡ hàng là:,a. Thuyền trưởng.,b. Thuyền phó.,c. Thủy thủ.,d. Tất cả các thuyền viên.,d
47,Những nơi nào trên phương tiện chở hóa chất<c> thuyền viên không được vào khi không có sự giám sát của sĩ quan có trách nhiệm khi làm hàng:,a. Các két hàng và khoang trống xung quanh két đó.,b. Nơi xếp<c> dỡ có không gian kín.,c. Nơi có nguy cơ cháy tự nhiên.,d. Tất cả những nơi trên.,d
48,Nắp két hàng luôn phải đóng kín khi xếp<c> dỡ loại hàng hóa chất nào: ,a. Hàng tạo ra hơi dễ cháy.,b. Hàng tạo ra hơi độc.,c. Hàng nguy hiểm khác.,d. Tất cả các loại hàng trên.,d
49,Két chứa loại hàng hóa chất nào sau đây không được đặt trên boong tàu nếu không được cách nhiệt:,a. Dễ nổ.,b. Dễ cháy.,c. Nhạy cảm với nhiệt độ.,d. Nhạy cảm với ánh sáng.,c
50,Đối tượng thuyền viên trên phương tiện chở hóa chất được đào tạo<c> huấn luyện quy trình ứng cứu khẩn cấp để xử lý các tình trạng rò rỉ<c> tràn hoặc cháy có liên quan đến hàng hóa chất là:,a. Máy trưởng.,b. Thợ máy.,c. Thủy thủ.,d. Các sĩ quan.,d
51,Tàu chở hàng có phản ứng nguy hiểm với các hàng hóa khác<c> cấu trúc phải thỏa mãn những yêu cầu nào: ,a. Cách ly với hàng hóa khác bằng két cách ly.,b. Có hệ thống bơm hàng riêng biệt.,c. Hệ thống thông hơi khoang<c> két hàng tách biệt.,d. Tất cả các yêu cầu trên.,d
52,Cơ quan chức năng chấp nhận bản hướng dẫn vận hành trên phương tiện chở hóa chất là:,a. Bộ Giao thông vận tải.,b. Sở Giao thông vận tải.,c. Cơ quan đăng kiểm.,d. Cục Đường thủy nội địa.,c
